"","names","id","V1","主题美化","健康美容","办公商务","图像服务","实用工具","手机游戏","教育培训","数字阅读","新闻资讯","旅游出行","智能设备","汽车服务","生活服务","电话通讯","移动社交","移动视频","移动购物","移动音乐","系统工具","育儿母婴","金融理财","医疗服务"
"471","1421",17052,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"472","1422",17064,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,6,0,0,0
"473","1423",17076,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"474","1424",17088,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"475","1425",17100,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,0,0,3,0,1,0
"476","1426",17112,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"477","1427",17124,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478","1428",17136,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0
"479","1429",17148,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"480","143",1716,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481","1430",17160,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"482","1431",17172,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0
"483","1432",17184,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"484","1433",17196,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"485","1434",17208,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"486","1435",17220,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"487","1436",17232,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"488","1437",17244,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489","1438",17256,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490","1439",17268,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491","144",1728,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,1,0,3,0
"492","1440",17280,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0
"493","1441",17292,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"494","1442",17304,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"495","1443",17316,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"496","1444",17328,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"497","1445",17340,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"498","1446",17352,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"499","1447",17364,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,4,0,0,0
"500","1448",17376,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,6,0,1,0
